goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/directory
cpu: Apple M1 Pro
BenchmarkDNDisplayCompare/root/child/suffix/direct-8          	11091427	        14.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/child/suffix/direct-8          	11274373	        16.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/child/suffix/string-8          	 1000000	       152.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/root/child/suffix/string-8          	 1626548	       102.8 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/equals/direct-8    	39802833	         5.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/equals/direct-8    	29621107	         5.686 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/equals/string-8    	 2296681	        67.73 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/equals/string-8    	 2033965	       103.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/suffix/direct-8    	10094235	        15.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/suffix/direct-8    	11886745	        15.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/suffix/string-8    	 1000000	       153.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/root/prefix-miss/suffix/string-8    	 1781716	        96.13 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/equals/direct-8      	11883867	        17.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/equals/direct-8      	12293821	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/equals/string-8      	 3471897	        50.61 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/equals/string-8      	 2816320	        55.06 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/suffix/direct-8      	40002595	         4.464 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/suffix/direct-8      	39253100	         4.613 ns/op	       0 B/op	       0 allocs/op
