run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
explicit-experiment	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	133.982877000
explicit-experiment	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	130.656726000
explicit-experiment	distributed	nonrootBase	search_nonrootBase	0	projection	3	1000	1000	1002	130.498938000
explicit-experiment	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	82.137831000
explicit-experiment	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	153.381263000
explicit-experiment	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	150.427799000
explicit-experiment	distributed	nonrootEquality	search_nonrootEquality	0	projection	3	1000	1000	1002	148.967376000
explicit-experiment	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	96.749134000
explicit-experiment	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	28.360332000
explicit-experiment	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	22.292083000
explicit-experiment	groups	memberEquality	search_memberEquality	0	projection	3	100	100	102	21.727376000
explicit-experiment	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	11.129504000
explicit-experiment	groups	groupBase	base_member_values	10	before	3	100	100	102	14.508000000
explicit-experiment	groups	groupBase	base_member_values	10	current	3	100	100	102	14.568714000
explicit-experiment	groups	groupBase	base_member_values	10	projection	3	100	100	102	14.045004000
explicit-experiment	groups	groupBase	base_member_values	10	openldap	3	100	100	102	9.414837000
explicit-experiment	groups	groupBase	base_member_values	1000	before	3	100	100	102	96.397340000
explicit-experiment	groups	groupBase	base_member_values	1000	current	3	100	100	102	99.415914000
explicit-experiment	groups	groupBase	base_member_values	1000	projection	3	100	100	102	99.056704000
explicit-experiment	groups	groupBase	base_member_values	1000	openldap	3	100	100	102	85.779754000
explicit-experiment	groups	nestedMembership	client_bfs_member_equality	0	before	3	100	417	419	70.781112000
explicit-experiment	groups	nestedMembership	client_bfs_member_equality	0	current	3	100	417	419	68.329621000
explicit-experiment	groups	nestedMembership	client_bfs_member_equality	0	projection	3	100	417	419	70.315241000
explicit-experiment	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	43.697193000
default-experiment	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	91.838413000
default-experiment	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	93.098954000
default-experiment	hot	userBind	simple_bind_ssha	0	projection	3	1000	1000	1002	91.544565000
default-experiment	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	72.879800000
default-experiment	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	91.445205000
default-experiment	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	91.673954000
default-experiment	hot	userBind	simple_bind_plaintext	0	projection	3	1000	1000	1002	90.222620000
default-experiment	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	72.605649000
default-experiment	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	89.560088000
default-experiment	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	88.184590000
default-experiment	hot	userBindWrong	simple_bind_ssha	0	projection	3	1000	1000	3002	88.589677000
default-experiment	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	72.889041000
default-experiment	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	88.520043000
default-experiment	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	88.848794000
default-experiment	hot	userBindWrong	simple_bind_plaintext	0	projection	3	1000	1000	3002	88.946010000
default-experiment	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	70.027571000
default-experiment	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	104.479903000
default-experiment	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	103.916456000
default-experiment	hot	nonrootBase	search_nonrootBase	0	projection	3	1000	1000	1002	103.631602000
default-experiment	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	80.954964000
default-experiment	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	110.724797000
default-experiment	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	109.928801000
default-experiment	hot	nonrootEquality	search_nonrootEquality	0	projection	3	1000	1000	1002	112.370077000
default-experiment	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	82.556796000
default-experiment	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	125.104024000
default-experiment	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	124.364049000
default-experiment	distributed	nonrootBase	search_nonrootBase	0	projection	3	1000	1000	1002	122.583650000
default-experiment	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	81.339089000
default-experiment	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	124.330954000
default-experiment	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	121.566281000
default-experiment	distributed	nonrootEquality	search_nonrootEquality	0	projection	3	1000	1000	1002	120.731032000
default-experiment	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	87.441360000
default-experiment	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	28.177920000
default-experiment	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	20.100084000
default-experiment	groups	memberEquality	search_memberEquality	0	projection	3	100	100	102	19.970753000
default-experiment	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	12.658258000
default-experiment	groups	groupBase	base_member_values	10	before	3	100	100	102	15.020457000
default-experiment	groups	groupBase	base_member_values	10	current	3	100	100	102	13.496292000
default-experiment	groups	groupBase	base_member_values	10	projection	3	100	100	102	13.760587000
default-experiment	groups	groupBase	base_member_values	10	openldap	3	100	100	102	9.948716000
default-experiment	groups	groupBase	base_member_values	1000	before	3	100	100	102	96.779034000
default-experiment	groups	groupBase	base_member_values	1000	current	3	100	100	102	98.561256000
default-experiment	groups	groupBase	base_member_values	1000	projection	3	100	100	102	95.197541000
default-experiment	groups	groupBase	base_member_values	1000	openldap	3	100	100	102	88.067260000
default-experiment	groups	nestedMembership	client_bfs_member_equality	0	before	3	100	417	419	59.328038000
default-experiment	groups	nestedMembership	client_bfs_member_equality	0	current	3	100	417	419	58.725734000
default-experiment	groups	nestedMembership	client_bfs_member_equality	0	projection	3	100	417	419	60.190182000
default-experiment	groups	nestedMembership	client_bfs_member_equality	0	openldap	3	100	417	419	40.409219000
