File: profile-current.test
Type: alloc_space
Time: 2026-09-23 14:47:08 CST
Showing nodes accounting for 2189.22MB, 95.34% of 2296.28MB total
Dropped 87 nodes (cum <= 11.48MB)
      flat  flat%   sum%        cum   cum%
         0     0% 95.34%   409.94MB 17.85%  github.com/wangle201210/ldap-go/internal/server.(*homedirEffectStore).Update.func1
         0     0% 95.34%    13.50MB  0.59%  github.com/wangle201210/ldap-go/internal/server.(*operationRegistry).register
         0     0% 95.34%    15.50MB  0.68%  github.com/wangle201210/ldap-go/internal/server.accessSubject
         0     0% 95.34%       88MB  3.83%  github.com/wangle201210/ldap-go/internal/server.bindPreDelegationResult
         0     0% 95.34%    26.50MB  1.15%  github.com/wangle201210/ldap-go/internal/server.databaseDNAtOrBelow
         0     0% 95.34%    26.50MB  1.15%  github.com/wangle201210/ldap-go/internal/server.databaseForDN (inline)
         0     0% 95.34%    26.50MB  1.15%  github.com/wangle201210/ldap-go/internal/server.databaseIndexForDN
         0     0% 95.34%   158.51MB  6.90%  github.com/wangle201210/ldap-go/internal/server.normalizePasswordPolicyDN
         0     0% 95.34%       32MB  1.39%  github.com/wangle201210/ldap-go/internal/server.normalizeRuntimeDatabaseDN
         0     0% 95.34%   162.51MB  7.08%  github.com/wangle201210/ldap-go/internal/server.parseRuntimeConnectionDN
         0     0% 95.34%   408.42MB 17.79%  github.com/wangle201210/ldap-go/internal/server.refreshRuntimeNamingContexts
         0     0% 95.34%    15.50MB  0.68%  github.com/wangle201210/ldap-go/internal/server.storageRevisionReader.AccessContext
         0     0% 95.34%   410.95MB 17.90%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).Update
         0     0% 95.34%  1166.20MB 50.79%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).View
         0     0% 95.34%  1135.69MB 49.46%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).View.func1
         0     0% 95.34%   410.95MB 17.90%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).update
         0     0% 95.34%   409.94MB 17.85%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).update.func2
